activity_id,word
19,Intuitiveness
19,Inventiveness
19,Investing
19,Involvement
19,Joy
19,Judiciousness
19,Justice
19,Keenness
19,Kindness
19,Knowledge
19,Laughter
19,Leadership
19,Learning
19,Liberty
19,Listening
19,Liveliness
19,Logic
19,Longevity
19,Love
19,Loyalty
19,Majesty
19,Making a difference
19,Mastery
19,Maturity
19,Maximization
19,Meaning
19,Meekness
19,Mellowness
19,Merit
19,Meticulousness
19,Mindfulness
19,Modesty
19,Motivation
19,Mysteriousness
19,Neatness
19,Neighborliness
19,Nerve
19,Nurturing
19,Obedience
19,Oneness
19,Openness
19,Opportunity
19,Optimism
19,Optimization
19,Order
19,Organization
19,Originality
19,Outlandishness
19,Outrageousness
19,Overcoming
19,Ownership
19,Passion
19,Patience
19,Patriotism
19,Peace
19,Perceptiveness
19,Perfection
19,Perkiness
19,Perseverance
19,Persistence
19,Personal growth
19,Perspective
19,Persuasiveness
19,Piety
19,Pioneer
19,Playfulness
19,Pleasantness
19,Pleasure
19,Poise
19,Polish
19,Popularity
19,Positivity
19,Potency
19,Power
19,Practicality
19,Practice
19,Pragmatism
19,Precision
19,Preparedness
19,Presence
19,Preservation
19,Pride
19,Privacy
19,Proactivity
19,Professionalism
19,Progress
19,Promotion
19,Prosperity
19,Protection
19,Prudence
19,Punctuality
19,Purity
19,Purpose
19,Purposefulness
19,Quality
19,Quietude
19,Rationality
19,Realism
19,Reason
19,Reasonableness
19,Recognition
19,Recreation
19,Refinement
19,Reflection
19,Regularity
19,Relaxation
19,Reliability
19,Reputation
19,Resilience
19,Resolution
19,Resolve
19,Resourcefulness
19,Respect
19,Responsibility
19,Responsiveness
19,Rest
19,Restraint
19,Results
19,Reverence
19,Richness
19,Rigor
19,Romance
19,Rules
19,Sacredness
19,Sacrifice
19,Safety
19,Sagacity
19,Saintliness
19,Sanguinity
19,Satisfaction
19,Security
19,Self-control
19,Self-givingness
19,Self-improvement
19,Selflessness
19,Self-reliance
19,Self-respect
19,Self-thinking
19,Sensitivity
19,Sensuality
19,Serenity
19,Service
19,Sexuality
19,Sharing
19,Shrewdness
19,Significance
19,Silence
19,Silliness
19,Simplicity
19,Sincerity
19,Skillfulness
19,Solidarity
19,Solitude
19,Sophistication
19,Soulfulness
19,Soundness
19,Speed
19,Spontaneity
19,Sportsmanship
19,Spunk
19,Stability
19,Standardization
19,Status
19,Stealth
19,Stewardship
19,Stillness
19,Strength
19,Structure
19,Success
19,Support
19,Supremacy
19,Surprise
19,Sympathy
19,Synergy
19,Systemization
19,Teamwork
19,Temperance
19,Thankfulness
19,Thinking
19,Thoroughness
19,Thoughtfulness
19,Thrift
19,Tidiness
19,Timeliness
19,Tolerance
19,Tradition
19,Tranquility
19,Transcendence
19,Trust
19,Trustworthiness
19,Truth
19,Uncertainty
19,Understanding
19,Unflappability
19,Uniqueness
19,Unity
19,Usefulness
19,Utility
19,Valor
19,Variety
19,Victory
19,Vigor
19,Virtue
19,Vision
19,Vitality
19,Vivacity
19,Warmth
19,Watchfulness
19,Wealth
19,Well-being
19,Willfulness
19,Willingness
19,Winning
19,Wisdom
19,Wittiness
19,Wonder
19,Youthfulness
